('cd', 5079)		# 只需要可执行权限
('kill', 1819)
('rm', 1728)
('grep', 1707)		# 文本搜索工具，基本正则
('cat', 1345)		# 连接多个文件并打印到标准输出
('tail', 1328)		# 在屏幕上显示指定文件的末尾若干行
('ps', 1016)		# 进程状态
('cp', 845)			# 对该文件所在目录要有rx权限，对文件有r权限。对目标目录有rwx权限
('mv', 520)			# 重命名不需要任何权限；文件(---)->文件夹(-wx)；文件夹(-w-)->文件夹()
('du', 518)			# 显示每个文件和目录的磁盘使用空间
('more', 504)		# 显示文件内容，每次显示一屏
('find', 500)		# 在指定目录下查找文件
('ls', 494)			
('telnet', 417)		# 登录远程主机和管理(测试ip端口是否连通)
('ssh', 402)		
('vi', 359)			# 纯文本编辑器
('nohup', 307)		# 将程序以忽略挂起信号的方式运行起来
('netstat', 298)	# 查看Linux中网络系统状态信息
('scp', 282)		# 加密的方式在本地主机和远程主机之间复制文件
('tar', 277)		# 多文件打包，不同于压缩。压缩往往只能压缩一个文件，对于多文件来说需要先打包再压缩
('su', 264)			# 切换用户
('sh', 261)			# shell命令解释器
('awk', 257)		# 处理文本数据
('service', 226)	# 控制系统服务的实用工具
('echo', 193)		# 输出指定的字符串或者变量
('mkdir', 187)
('chmod', 185)		# 更改文件的权限，与chown不同
('ping', 176)
('curl', 162)		# 文件传输工具
('yum', 153)		# 基于RPM的软件包管理器
('systemctl', 151)	# 系统服务管理器指令；启动、停止、重启服务等
('as', 148)			# 汇编名称编译器
('sed', 133)		# 流式文本编辑器
('mysql', 125)
('history', 119)	# 显示或操作历史列表
('install', 116)	# 安装或升级软件或备份数据
('chown', 109)		# 用来变更文件或目录的拥有者或所属群组
('wc', 107)			# 统计文件的字节数、字数、行数
('rpm', 101)		# RPM软件包的管理工具
('less', 93)		# 分屏上下翻页浏览文件内容
('tailf', 85)		# 在屏幕上显示指定文件的末尾若干行内容，通常用于日志文件的跟踪输出
('export', 75)		# 为shell变量或函数设置导出属性。
('ss', 66)			# 允许你查询 socket 的有关统计信息
('df', 56)			# 显示磁盘的相关信息
('tcpdump', 45)		# 一款sniffer工具，是Linux上的抓包工具，嗅探器
('exec', 44)		# 调用并执行指定的命令
('head', 42)		# 显示文件的开头部分
('host', 39)		# 分析域名查询工具
('iptables', 39)	# iptables
('unzip', 34)
('lsof', 33)		# 显示Linux系统当前已打开的所有文件列表
('mysqldump', 32)
('egrep', 30)		# 类似grep 拓展正则
('zip', 30)
('date', 28)		# 显示或设置系统时间与日期
('ethtool', 27)		# 显示或修改以太网卡的配置信息
('stat', 25)		# 显示文件的状态信息
('test', 25)		# 执行条件表达式
('xargs', 25)		# 给其他命令传递参数的一个过滤器
('source', 23)		# 在当前Shell环境中从指定文件读取和执行命令
('ip', 22)			# 网络配置工具
('passwd', 21)		# 用于让用户可以更改自己的密码
('sudo', 21)		# 以其他身份来执行命令
('touch', 21)		# 创建新的空文件
